,itemId,count,popClass
4226,15124,4680,0
4245,15205,4184,0
4559,16377,3906,0
1683,6037,3368,0
3098,11064,3281,0
2133,7624,3277,0
4014,14367,3274,0
1194,4306,3268,0
1375,4996,3247,0
3415,12232,3212,0
3835,13728,3116,0
2401,8644,3019,0
4067,14550,3005,0
329,1145,2999,0
2132,7617,2993,0
939,3427,2960,0
4562,16384,2959,0
3530,12672,2942,0
760,2782,2895,0
1283,4656,2856,0
4034,14410,2816,0
4089,14621,2808,0
1715,6134,2791,0
3397,12161,2613,0
2330,8387,2564,0
2951,10550,2537,0
3176,11337,2535,0
2959,10583,2470,0
4389,15755,2440,0
3205,11443,2405,0
3723,13359,2396,0
2892,10358,2380,0
1945,6974,2367,0
4304,15393,2270,0
1396,5054,2251,0
3088,11040,2248,0
1367,4951,2229,0
3301,11781,2160,0
403,1470,2149,0
1373,4972,2114,0
1657,5939,2073,0
3438,12338,2060,0
4498,16128,2047,0
3247,11607,1998,0
3795,13614,1957,0
2719,9728,1950,0
3439,12343,1948,0
633,2342,1920,0
2006,7193,1920,0
580,2112,1902,0
3888,13923,1864,0
2830,10123,1843,0
1932,6931,1823,0
4232,15156,1798,0
2020,7233,1770,0
3362,12034,1735,0
4314,15425,1733,0
4550,16339,1722,0
2168,7767,1714,0
3031,10820,1711,0
1881,6720,1707,0
2516,9051,1706,0
107,357,1688,0
1611,5807,1683,0
3366,12047,1675,0
1536,5571,1666,0
600,2200,1663,0
1970,7057,1648,0
1780,6350,1628,0
1614,5814,1605,0
1415,5112,1602,0
1002,3605,1584,0
481,1744,1573,0
2583,9254,1553,0
1824,6510,1536,0
4129,14780,1522,0
204,708,1516,0
3058,10906,1512,0
4168,14909,1487,0
1254,4545,1485,0
2211,7937,1479,0
4210,15058,1460,0
4774,17129,1459,0
3124,11152,1456,0
1445,5226,1447,0
99,329,1436,0
94,312,1424,0
2572,9205,1421,0
2748,9818,1398,0
3128,11173,1390,0
1547,5628,1383,0
1736,6205,1379,0
4224,15116,1377,0
1838,6555,1358,0
2455,8832,1356,0
1571,5695,1353,0
4155,14869,1348,0
3161,11279,1339,0
747,2743,1325,0
1963,7032,1319,0
2860,10225,1317,0
1779,6347,1299,0
978,3538,1294,0
2733,9768,1278,0
2245,8079,1267,0
1295,4698,1267,0
4792,17215,1260,0
1909,6833,1254,0
4834,17405,1241,0
1966,7040,1240,0
2743,9800,1221,0
4829,17387,1198,0
2224,7971,1196,0
3433,12305,1185,0
545,1975,1180,0
663,2465,1179,0
1815,6482,1179,0
4176,14940,1163,0
1810,6464,1162,0
1602,5788,1158,0
1075,3864,1142,0
3138,11198,1140,0
3752,13471,1132,0
4624,16604,1126,0
665,2470,1116,0
4432,15919,1115,0
708,2617,1113,0
1949,6994,1098,0
3170,11315,1082,0
3534,12690,1063,0
3483,12500,1055,0
1427,5169,1054,0
4615,16565,1050,0
4721,16948,1047,0
2134,7627,1040,0
603,2209,1038,0
2048,7330,1029,0
514,1843,1026,0
1803,6449,1023,0
1183,4262,1021,0
4220,15105,1012,0
4813,17295,1010,0
4709,16901,1005,0
4862,17482,1001,0
3698,13298,992,0
100,331,977,0
2233,8016,973,0
3746,13439,959,0
4212,15084,958,0
2098,7521,957,0
949,3463,956,0
2841,10158,955,0
1277,4633,950,0
2916,10436,950,0
4745,17031,949,0
4590,16469,945,0
3964,14209,936,0
4654,16703,934,0
4781,17174,928,0
4053,14484,923,0
2449,8806,919,0
1747,6231,914,0
643,2395,911,0
2914,10429,905,0
4289,15339,897,0
3569,12828,895,0
459,1659,893,0
10,28,891,0
4571,16406,886,0
1216,4402,886,0
3993,14296,885,0
440,1590,880,0
431,1571,873,0
2313,8334,869,0
301,1046,861,0
1303,4727,860,0
1034,3730,858,0
2339,8413,846,0
2498,8981,840,0
553,2000,838,0
4013,14364,831,0
4661,16721,821,0
3691,13273,819,0
2803,10027,816,0
4276,15296,812,0
2462,8851,811,0
2673,9593,811,0
2900,10379,810,0
2501,8989,810,0
2628,9415,804,0
129,443,801,0
3120,11139,799,0
109,361,799,0
1710,6117,797,0
3558,12799,796,0
4900,17621,796,0
2382,8585,794,0
4530,16262,793,0
4588,16465,788,0
1211,4393,784,0
4177,14960,780,0
4420,15853,779,0
2260,8116,769,0
2887,10344,768,0
3642,13074,751,0
2191,7879,750,0
4081,14601,749,0
4514,16201,748,0
3758,13493,747,0
3279,11701,743,0
4507,16169,742,0
1671,5997,740,0
1206,4369,729,0
1877,6702,727,0
4445,15953,721,0
2023,7249,717,0
1499,5430,711,0
2367,8531,709,0
2192,7882,709,0
3865,13856,708,0
4454,16008,707,0
4857,17474,702,0
4928,17703,701,0
4775,17134,698,0
4731,16997,698,0
3237,11573,696,0
252,872,696,0
3300,11771,694,0
4942,17762,693,0
2494,8966,693,0
4651,16698,691,0
2054,7356,688,0
4452,15997,684,0
4291,15342,684,0
4312,15421,681,0
84,273,678,0
3077,10986,678,0
3863,13847,672,0
3012,10759,672,0
3445,12365,671,0
1751,6240,671,0
124,413,670,0
869,3197,666,0
4107,14698,662,0
4604,16532,659,0
1062,3824,657,0
1625,5836,656,0
4370,15671,654,0
3410,12221,652,0
3572,12838,651,0
3717,13342,649,0
521,1877,647,0
4170,14918,641,0
1742,6221,641,0
870,3198,637,0
2255,8099,636,0
2913,10428,633,0
2394,8619,633,0
3402,12186,632,0
4818,17321,632,0
1448,5237,631,0
1209,4384,619,0
839,3085,618,0
3105,11090,616,0
2316,8339,610,0
3760,13501,610,0
2004,7184,609,0
3565,12818,607,0
1334,4862,607,0
4891,17589,595,0
2482,8928,593,0
4033,14407,593,0
2652,9508,592,0
3261,11647,591,0
556,2016,591,0
4330,15496,590,0
2596,9298,583,0
861,3165,582,0
1244,4520,582,0
1204,4341,581,0
3257,11638,581,0
1744,6223,580,0
2615,9381,580,0
4239,15182,578,0
950,3466,578,0
4227,15129,573,0
4548,16325,572,0
4733,17002,568,0
1421,5137,568,0
3627,13007,566,0
3229,11544,565,0
1872,6687,563,0
4182,14978,563,0
4147,14855,562,0
858,3161,560,0
2861,10230,553,0
3856,13827,551,0
960,3489,551,0
3486,12508,550,0
489,1770,547,0
1783,6362,545,0
4058,14507,543,0
4337,15532,540,0
4123,14759,534,0
1752,6243,532,0
2971,10620,529,0
2000,7173,523,0
4735,17008,521,0
898,3274,521,0
4876,17541,519,0
2551,9160,518,0
3118,11132,517,0
3263,11658,516,0
3648,13098,510,0
1494,5414,509,0
844,3098,509,0
1994,7145,505,0
1764,6281,505,0
4082,14602,502,0
1558,5656,498,0
1003,3617,495,0
2137,7643,495,0
525,1901,494,0
1882,6721,493,0
2504,9003,487,0
436,1585,486,0
71,223,486,0
586,2139,484,0
777,2866,484,0
4322,15449,483,0
3867,13865,483,0
1400,5071,483,0
1312,4761,479,0
775,2851,478,0
3324,11882,474,0
3329,11903,474,0
3055,10894,473,0
2406,8669,473,0
1756,6255,471,0
4008,14355,470,0
1344,4884,470,0
456,1645,469,0
2536,9110,469,0
2453,8826,467,0
4729,16992,466,0
4095,14642,463,0
4127,14776,463,0
816,3015,461,0
2274,8177,459,0
2356,8483,458,0
765,2809,457,0
2515,9048,457,0
3588,12904,451,0
2153,7696,450,0
3641,13073,450,0
635,2348,450,0
3265,11662,448,0
758,2780,446,0
922,3364,446,0
2741,9798,446,0
1030,3715,446,0
1998,7163,443,0
2731,9757,443,0
4254,15234,440,0
2471,8883,438,0
3978,14250,437,0
1015,3670,437,0
4585,16459,436,0
2579,9235,434,0
3844,13787,434,0
3147,11234,434,0
4673,16767,434,0
4411,15816,430,0
1643,5895,429,0
1327,4841,427,0
279,962,426,0
2165,7755,426,0
4042,14457,425,0
1638,5882,422,0
1033,3728,421,0
4916,17671,420,0
1486,5391,419,0
4795,17221,416,0
4801,17251,416,0
3763,13512,416,0
3199,11427,415,0
2021,7237,415,0
2147,7683,414,0
836,3071,414,0
544,1974,414,0
4117,14734,413,0
151,516,413,0
3413,12224,412,0
3193,11405,410,0
267,940,408,0
1675,6007,406,0
2665,9565,404,0
3139,11199,403,0
1626,5837,403,0
2119,7563,403,0
1574,5704,402,0
1450,5243,401,0
2901,10392,399,0
4469,16047,397,0
4047,14467,397,0
1069,3840,397,0
850,3128,395,0
4157,14873,393,0
4619,16587,389,0
2769,9913,386,0
4754,17057,383,0
4787,17195,381,0
3467,12430,381,0
4678,16788,379,0
943,3434,377,0
2136,7632,376,0
3738,13423,375,0
3731,13389,374,0
4868,17499,373,0
547,1983,371,0
17,58,371,0
331,1148,370,0
1188,4284,370,0
1310,4753,368,0
3873,13883,367,0
1411,5103,365,0
2322,8357,364,0
3646,13087,362,0
1319,4801,359,0
2199,7895,357,0
3323,11875,355,0
2129,7607,354,0
4149,14858,352,0
3280,11702,351,0
1220,4420,350,0
751,2751,350,0
4381,15730,349,0
4234,15163,349,0
3553,12763,346,0
3087,11038,346,0
1433,5187,345,0
1282,4652,344,0
2702,9681,343,0
4391,15769,343,0
3945,14131,342,0
1985,7112,341,0
408,1482,340,0
4625,16606,339,0
4782,17176,338,0
1740,6219,335,0
1392,5033,333,0
1292,4686,332,0
1629,5854,332,0
2780,9946,330,0
1873,6693,330,0
3102,11084,325,0
1156,4157,324,0
2983,10662,323,0
4340,15545,322,0
3404,12191,321,0
125,424,320,0
2809,10044,320,0
4119,14737,320,0
2896,10371,318,0
1691,6068,318,0
3378,12096,316,0
302,1050,315,0
208,723,314,0
1561,5665,311,0
3918,14016,311,0
1895,6771,311,0
1924,6886,304,0
4642,16660,303,0
1109,3972,303,0
4698,16859,302,0
3356,12002,302,0
2571,9204,301,0
2139,7647,301,0
2201,7899,298,0
2866,10240,298,0
3653,13115,298,0
2432,8744,297,0
24,77,297,0
163,551,296,0
877,3216,296,0
1435,5190,296,0
1081,3879,295,0
2685,9621,295,0
1330,4849,293,0
4597,16491,291,0
4784,17180,291,0
1694,6073,290,0
3607,12940,289,0
365,1295,287,0
2885,10337,287,0
2190,7875,287,0
3813,13663,286,0
3254,11630,286,0
2621,9395,286,0
3062,10920,284,0
338,1175,284,0
3647,13091,282,0
3369,12054,282,0
2756,9859,281,0
1355,4912,278,0
2126,7589,277,0
4012,14363,277,0
3288,11732,276,0
648,2422,276,0
3736,13413,275,0
2846,10176,274,0
3144,11218,274,0
317,1096,273,0
4536,16281,272,0
3632,13031,271,0
246,843,270,0
78,256,270,0
2812,10055,270,0
2999,10712,269,0
4233,15158,267,0
93,305,267,0
4336,15530,266,0
4887,17565,266,0
1556,5651,265,0
2872,10277,265,0
2996,10695,264,0
534,1939,263,0
756,2775,262,0
2985,10664,262,0
3623,12999,261,0
2511,9023,260,0
2827,10109,260,0
3033,10828,259,0
1990,7127,259,0
4850,17452,258,0
1943,6960,257,0
4918,17682,256,0
2910,10420,256,0
3948,14137,256,0
4138,14815,256,0
3350,11985,255,0
3168,11307,254,0
1181,4248,254,0
3846,13798,254,0
2206,7922,254,0
1708,6110,254,0
406,1476,252,0
1407,5092,251,0
661,2460,250,0
3894,13941,250,0
1169,4219,249,0
2783,9954,248,0
3038,10854,247,0
3563,12811,246,0
2912,10426,245,0
434,1582,245,0
1474,5333,244,0
31,97,244,0
516,1854,244,0
1525,5518,244,0
2289,8226,242,0
3529,12667,242,0
1341,4877,242,0
2399,8637,242,0
4236,15177,242,0
3604,12937,241,0
2656,9518,240,0
4405,15800,239,0
3649,13100,238,0
4367,15657,237,0
1577,5710,237,0
2794,9991,236,0
718,2640,236,0
3100,11080,236,0
1886,6735,235,0
3081,11005,235,0
3403,12188,233,0
679,2528,232,0
3331,11909,232,0
882,3225,231,0
2377,8569,231,0
3900,13963,231,0
1452,5245,231,0
2152,7691,230,0
3153,11254,229,0
1660,5952,229,0
3841,13774,227,0
1920,6872,227,0
2057,7370,226,0
1768,6302,225,0
2014,7221,225,0
3079,10996,224,0
3587,12902,223,0
377,1336,223,0
1336,4867,222,0
2708,9702,222,0
4893,17591,222,0
1974,7072,222,0
2911,10423,222,0
3557,12798,221,0
2791,9981,221,0
3597,12926,220,0
4382,15736,220,0
4572,16412,220,0
2576,9224,219,0
1563,5667,219,0
1063,3826,219,0
4228,15132,218,0
685,2548,218,0
4885,17559,218,0
2198,7892,218,0
1340,4876,217,0
457,1646,217,0
4794,17219,216,0
1919,6868,215,0
3053,10890,215,0
1508,5462,214,0
4860,17480,213,0
1235,4496,211,0
1524,5516,211,0
3314,11846,210,0
2370,8545,210,0
3608,12945,210,0
623,2284,210,0
4440,15945,209,0
3735,13409,209,0
4071,14568,209,0
973,3523,209,0
3154,11256,209,1
215,752,208,1
4361,15627,207,1
2937,10503,207,1
1750,6237,207,1
4581,16445,207,1
1913,6849,206,1
1696,6085,206,1
4866,17491,205,1
4896,17603,205,1
2650,9505,204,1
2544,9136,204,1
881,3223,203,1
828,3047,203,1
1291,4685,202,1
4151,14862,202,1
4658,16713,202,1
2693,9654,202,1
743,2735,201,1
2907,10413,201,1
2066,7391,199,1
927,3379,199,1
55,166,199,1
1972,7064,199,1
563,2040,198,1
1902,6804,198,1
1754,6251,198,1
3113,11123,197,1
4019,14376,197,1
3938,14111,196,1
3890,13927,195,1
4886,17563,195,1
1078,3870,195,1
4251,15223,195,1
2755,9856,194,1
2266,8141,194,1
3776,13556,194,1
1243,4517,194,1
3450,12378,193,1
561,2037,192,1
4111,14709,192,1
319,1104,190,1
1630,5856,188,1
4319,15443,188,1
3616,12970,188,1
4128,14779,188,1
2400,8641,187,1
3624,13002,186,1
2720,9729,185,1
1172,4225,184,1
4394,15774,184,1
2703,9690,183,1
189,631,182,1
4113,14723,182,1
4603,16525,180,1
1119,4012,180,1
914,3342,180,1
689,2558,179,1
1938,6942,179,1
3907,13990,179,1
3394,12145,178,1
1274,4628,178,1
2214,7942,178,1
3473,12446,178,1
4353,15594,178,1
51,156,177,1
480,1743,177,1
2257,8101,176,1
1055,3801,176,1
3643,13077,176,1
4917,17681,175,1
4680,16790,175,1
2973,10622,174,1
186,621,174,1
2595,9295,174,1
2277,8189,174,1
2195,7886,174,1
2601,9326,173,1
3860,13836,172,1
700,2595,170,1
506,1819,169,1
2711,9712,169,1
720,2643,169,1
3448,12376,168,1
2375,8563,168,1
2077,7434,168,1
1673,6003,167,1
4890,17578,167,1
4135,14806,167,1
4730,16995,165,1
691,2566,165,1
3928,14074,165,1
1423,5149,165,1
3965,14210,164,1
1053,3796,164,1
694,2572,164,1
4448,15968,164,1
4050,14475,164,1
4000,14320,163,1
2828,10111,163,1
5,17,163,1
838,3082,163,1
3622,12997,162,1
3980,14253,161,1
291,1012,161,1
4921,17687,161,1
1858,6632,160,1
316,1094,159,1
2378,8571,159,1
1749,6234,159,1
2231,8011,158,1
4526,16241,158,1
958,3487,157,1
2272,8174,157,1
3802,13634,157,1
1328,4843,157,1
4098,14654,156,1
3315,11848,156,1
4462,16030,155,1
2954,10560,154,1
1040,3758,154,1
2166,7756,154,1
211,734,154,1
1851,6609,153,1
784,2897,153,1
737,2705,152,1
273,954,152,1
967,3506,151,1
1465,5296,151,1
1394,5041,151,1
2609,9355,151,1
4779,17165,151,1
2535,9109,150,1
4875,17539,150,1
3290,11739,150,1
2660,9539,149,1
2942,10527,149,1
3068,10944,149,1
2865,10239,148,1
865,3174,148,1
2819,10084,148,1
4180,14973,148,1
3685,13248,148,1
2505,9005,147,1
3270,11678,146,1
2657,9532,145,1
936,3423,145,1
4508,16171,144,1
2888,10345,144,1
4746,17036,144,1
4326,15481,144,1
3337,11935,144,1
4883,17555,143,1
2369,8541,143,1
980,3542,143,1
621,2269,142,1
972,3521,142,1
4240,15183,142,1
1755,6254,141,1
3291,11740,141,1
4288,15336,141,1
3130,11176,141,1
3040,10860,140,1
2976,10633,140,1
2160,7728,140,1
4633,16616,140,1
798,2944,140,1
990,3573,139,1
2873,10278,138,1
1560,5663,138,1
4463,16033,138,1
2216,7952,137,1
3826,13702,137,1
4830,17397,135,1
152,517,135,1
4038,14431,135,1
1693,6072,135,1
2078,7436,135,1
2363,8511,135,1
198,677,134,1
3221,11526,134,1
4903,17628,134,1
3946,14135,134,1
4140,14820,133,1
3708,13326,133,1
1137,4069,131,1
503,1816,131,1
3562,12810,131,1
14,46,131,1
44,138,131,1
2607,9350,130,1
2433,8752,130,1
288,1001,130,1
649,2423,130,1
3690,13270,130,1
75,248,129,1
57,171,129,1
4423,15876,129,1
1728,6180,129,1
686,2551,128,1
1258,4557,127,1
3541,12721,127,1
157,534,127,1
2807,10038,126,1
4933,17730,126,1
3875,13886,126,1
842,3093,126,1
540,1947,125,1
83,268,125,1
4823,17341,125,1
308,1075,125,1
388,1409,125,1
3551,12758,125,1
3903,13973,124,1
3531,12679,124,1
194,652,124,1
2103,7533,123,1
1822,6498,123,1
1516,5488,123,1
3656,13123,123,1
4097,14653,123,1
1884,6729,123,1
4836,17411,123,1
1965,7034,122,1
1402,5076,122,1
443,1602,121,1
1781,6357,121,1
4114,14727,121,1
1265,4591,121,1
4152,14865,121,1
4377,15699,121,1
4699,16860,121,1
1316,4777,121,1
2956,10568,121,1
3855,13824,121,1
4049,14473,120,1
1719,6145,120,1
1239,4508,120,1
4002,14335,120,1
3065,10935,120,1
3673,13177,119,1
386,1399,119,1
2876,10293,119,1
3504,12562,119,1
3383,12110,118,1
2722,9731,118,1
1135,4060,118,1
1845,6587,118,1
599,2199,118,1
2286,8215,116,1
738,2711,116,1
1287,4671,116,1
2737,9780,115,1
3092,11050,115,1
996,3593,115,1
4575,16418,115,1
1784,6374,115,1
2662,9545,114,1
2632,9440,114,1
4308,15404,114,1
611,2235,114,1
724,2662,114,1
332,1151,113,1
3348,11977,113,1
2364,8518,113,1
3145,11226,113,1
3021,10786,113,1
1279,4636,112,1
778,2873,112,1
2808,10041,112,1
4052,14483,112,1
1457,5254,112,1
4363,15634,112,1
517,1866,112,1
3984,14259,112,1
2851,10198,112,1
4410,15814,112,1
2254,8098,111,1
3546,12739,111,1
3203,11435,111,1
2878,10300,110,1
596,2189,110,1
2787,9966,110,1
4406,15802,110,1
420,1521,110,1
1284,4663,109,1
3187,11384,109,1
1565,5672,109,1
4822,17338,109,1
1412,5105,109,1
4761,17079,108,1
2179,7809,108,1
497,1795,108,1
3619,12988,107,1
2671,9582,107,1
4719,16937,107,1
495,1788,106,1
2469,8877,106,1
1724,6161,106,1
3361,12032,105,1
3474,12459,105,1
4202,15039,105,1
640,2375,105,1
4006,14351,105,1
3478,12478,105,1
80,262,104,1
1477,5342,104,1
4798,17229,104,1
258,883,104,1
991,3581,103,1
3343,11965,103,1
924,3369,103,1
2109,7547,103,1
1150,4136,102,1
1085,3887,102,1
156,533,101,1
4320,15447,101,1
2144,7673,101,1
840,3086,101,1
4608,16548,101,1
423,1528,100,1
3071,10962,100,1
3241,11590,100,1
2177,7807,100,1
2991,10680,100,1
4174,14936,100,1
1986,7117,99,1
4711,16908,99,1
1912,6846,99,1
4192,15010,99,1
1061,3816,99,1
2314,8336,98,1
1885,6731,98,1
1776,6334,98,1
3166,11292,98,1
605,2217,98,1
3967,14214,98,1
3458,12397,98,1
3298,11765,97,1
989,3567,97,1
2408,8678,97,1
2757,9862,97,1
1047,3777,97,1
966,3505,97,1
2155,7704,96,1
1850,6602,96,1
4333,15511,96,1
2279,8191,95,1
736,2701,95,1
4905,17631,95,1
4184,14983,95,1
2011,7209,94,1
1678,6018,94,1
1741,6220,94,1
191,638,94,1
3700,13301,94,1
2025,7257,94,1
1613,5812,94,1
3107,11101,94,1
2932,10486,93,1
4443,15949,93,1
597,2195,93,1
1958,7024,93,1
3905,13979,93,1
70,213,93,1
2360,8497,93,1
678,2525,93,1
462,1666,93,1
3497,12540,92,1
3705,13317,92,1
4198,15031,92,1
4626,16607,92,1
1082,3880,92,1
863,3170,92,1
2460,8848,92,1
4450,15985,92,1
1538,5583,91,1
1380,5005,91,1
170,569,91,1
1743,6222,91,1
1335,4865,91,1
2299,8280,90,1
1548,5629,90,1
3423,12260,90,1
4143,14828,90,1
59,181,90,1
2804,10032,90,1
3506,12578,90,1
2709,9705,89,1
2906,10407,89,1
803,2974,89,1
1298,4709,89,1
421,1525,89,1
2500,8987,89,1
1674,6005,89,1
1138,4072,89,1
1796,6416,89,1
2100,7524,88,1
2513,9028,88,1
2831,10125,88,1
498,1800,88,1
3759,13500,88,1
3388,12124,87,1
496,1794,87,1
4844,17434,87,1
998,3599,87,1
2197,7890,87,1
1859,6635,86,1
4902,17624,86,1
68,209,86,1
3519,12626,86,1
4282,15315,86,1
104,345,86,1
1288,4680,86,1
346,1221,86,1
2528,9092,85,1
3373,12072,85,1
4531,16264,85,1
4199,15033,85,1
2714,9717,85,1
1786,6378,85,1
214,749,85,1
3849,13806,85,1
4075,14579,85,1
268,942,85,1
3249,11614,85,1
3160,11276,84,1
4744,17026,84,1
4231,15154,84,1
1346,4886,84,1
3766,13523,84,1
2622,9396,84,1
334,1160,84,1
3347,11975,84,1
1584,5731,83,1
565,2051,83,1
245,840,83,1
992,3583,83,1
3931,14086,83,1
4386,15750,83,1
2797,10004,83,1
1059,3810,83,1
3537,12714,83,1
3308,11822,83,1
2661,9540,83,1
2548,9150,83,1
1928,6912,82,1
4045,14463,82,1
1835,6545,82,1
3451,12381,82,1
1177,4237,82,1
2774,9927,82,1
1853,6612,81,1
1016,3672,81,1
2773,9926,81,1
4241,15186,81,1
4022,14381,81,1
908,3321,81,1
3593,12919,81,1
1275,4630,81,1
2395,8623,81,1
110,362,81,1
4614,16564,80,1
1232,4485,80,1
1733,6193,80,1
2578,9231,80,1
236,822,80,1
1468,5308,79,1
2524,9072,79,1
4807,17280,79,1
4636,16637,78,1
4555,16362,78,1
827,3043,78,1
1110,3975,78,1
4827,17379,78,1
4525,16237,78,1
3559,12804,78,1
2351,8469,77,1
3780,13572,77,1
324,1126,77,1
642,2394,77,1
1861,6640,77,1
4563,16387,77,1
86,281,76,1
3498,12542,76,1
4023,14383,76,1
3049,10881,76,1
4316,15437,76,1
3085,11029,76,1
581,2113,76,1
896,3268,76,1
4644,16676,76,1
2924,10460,75,1
3701,13311,75,1
4925,17693,75,1
3223,11531,75,1
3510,12596,75,1
341,1201,75,1
460,1660,75,1
36,104,75,1
2629,9418,75,1
3611,12958,75,1
4502,16143,74,1
1554,5647,74,1
3571,12837,74,1
1410,5097,74,1
1028,3710,74,1
1934,6935,74,1
2786,9964,73,1
1008,3640,73,1
4736,17010,73,1
3696,13288,73,1
1510,5468,73,1
16,57,72,1
